Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKow,logKow_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference,Plasma_Conc_0,Plasma_Conc_10,Plasma_Conc_50,Plasma_Conc_90,logKlipw,logDlipw,IC10_Baseline,AC10,AC10_Top,AC10_HillSlope,AC50,Endpoint_effect,IC10,IC10_Top,IC10_HillSlope,IC50,Endpoint_cytotox,SR,TR
"1-Ethyl-2,3-dimethylimidazolium trifluoromethanesulfonate",174899-72-0,274.26,U.S. EPA CompTox Dashboard,7.35E-06,U.S. EPA CompTox Dashboard,0.96,OPERA (0.7),10.94,OPERA (0.34),None,Sipes 2017,None,Sipes 2017,-3.14,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,3.00E-08,2.30E-07,9.26E-07,-3.0514,-4.0514,12.73000061,12.73000061,100,1,13.68424312,Baseline,12.73000061,100,1,13.68424312,Baseline,1,1
1-Butyl-1-methylpyrrolidinium trifluoromethanesulfonate,367522-96-1,291.33,U.S. EPA CompTox Dashboard,2.51E-07,Wambaugh 2014,0.6,OPERA (0.51),11.17,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,-2.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,4.00E-09,2.20E-08,-2.2232,-3.2232,10.43441075,10.43441075,100,1,11.38865326,Baseline,10.43441075,100,1,11.38865326,Baseline,1,1
1-Butyl-4-methylpyridinium trifluoromethanesulfonate,882172-79-4,299.31,U.S. EPA CompTox Dashboard,0.000118,U.S. EPA CompTox Dashboard,0.39,OPERA (0.3),7.59,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.82E-07,1.36E-06,7.98E-06,-2.4656,-3.4656,11.06050466,11.06050466,100,1,12.01474716,Baseline,11.06050466,100,1,12.01474716,Baseline,1,1
1-Butyl-3-methylpyridinium trifluoromethanesulfonate,857841-32-8,299.31,U.S. EPA CompTox Dashboard,0.000124,U.S. EPA CompTox Dashboard,0.53,OPERA (0.36),7.58,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,2.42E-07,2.50E-06,1.30E-05,-2.4656,-3.4656,11.06050466,11.06050466,100,1,12.01474716,Baseline,11.06050466,100,1,12.01474716,Baseline,1,1
1-Butylpyridinium trifluoromethanesulfonate,390423-43-5,285.28,U.S. EPA CompTox Dashboard,7.06E-05,U.S. EPA CompTox Dashboard,0.51,OPERA (0.32),8.37,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.78,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.34E-07,1.25E-06,6.58E-06,-2.6878,-3.6878,11.66675319,11.66675319,100,1,12.6209957,Baseline,11.66675319,100,1,12.6209957,Baseline,1,1
1-Hexylpyridinium trifluoromethanesulfonate,623167-81-7,313.34,U.S. EPA CompTox Dashboard,4.31E-05,U.S. EPA CompTox Dashboard,0.03,OPERA (0.72),8.42,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-1.91,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,1.40E-08,-1.8091,-2.8091,9.444303596,9.444303596,100,1,10.39854611,Baseline,9.444303596,100,1,10.39854611,Baseline,1,1
1-Methyl-3-hexylimidazolium trifluoromethylsulfonate,460345-16-8,316.34,U.S. EPA CompTox Dashboard,2.34E-07,Wambaugh 2014,0.33,OPERA (0.35),41.27,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,-1.85,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,0,2.00E-09,-1.7485,-2.7485,9.307356241,0.597233553,71.73314833,1.271155449,1.729680012,TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide_viability|TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability|TOX21_CAR_Agonist_viabillity|TOX21_PXR_viability|TOX21_RT_HEK293_GLO_08hr_viability|TOX21_RT_HEK293_GLO_16hr_viability|TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability,0.597233553,71.73314833,1.271155449,1.729680012,TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide_viability|TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability|TOX21_CAR_Agonist_viabillity|TOX21_PXR_viability|TOX21_RT_HEK293_GLO_08hr_viability|TOX21_RT_HEK293_GLO_16hr_viability|TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability,1,513006288
1-Butyl-3-methylimidazolium trifluoromethanesulfonate,174899-66-2,288.29,U.S. EPA CompTox Dashboard,1.72E-07,Wambaugh 2014,0.75,OPERA (0.42),41.3,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,-2.87,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,5.00E-09,-2.7787,-3.7787,11.92407373,11.92407373,100,1,12.87831623,Baseline,11.92407373,100,1,12.87831623,Baseline,1,1
"1-Butyl-2,3-dimethylimidazolium trifluoromethanesulfonate",765910-73-4,302.31,U.S. EPA CompTox Dashboard,0.000111,U.S. EPA CompTox Dashboard,0.71,OPERA (0.36),0,OPERA (0.39),None,Sipes 2017,None,Sipes 2017,-2.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,8.36E-05,0.0001427,0.0002238,-2.5464,-3.5464,11.27728931,11.27728931,100,1,12.23153182,Baseline,11.27728931,100,1,12.23153182,Baseline,1,1
4-Fluorophenoxy,2145-21-3,111.095,U.S. EPA CompTox Dashboard,3.42E-06,U.S. EPA CompTox Dashboard,0.49,OPERA (0.7),26.32,OPERA (0.68),9.34,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.77,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS,0,4.00E-09,2.70E-08,1.57E-07,1.9077,1.903773654,2.971260864,2.971260864,100,1,3.925503373,Baseline,2.971260864,100,1,3.925503373,Baseline,1,1
Phenoxy,2122-46-5,93.105,U.S. EPA CompTox Dashboard,1.92E-05,U.S. EPA CompTox Dashboard,0.71,OPERA (0.91),5.52,OPERA (0.84),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.63,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.46E-07,1.69E-06,9.48E-06,1.7663,1.7663,3.075835792,3.075835792,100,1,4.030078301,Baseline,3.075835792,100,1,4.030078301,Baseline,1,1
"Methyldioxy, dichloro-",73761-31-6,115.92,U.S. EPA CompTox Dashboard,5.81E-07,U.S. EPA CompTox Dashboard,0.85,OPERA (0.45),1.58,OPERA (0.53),-0.06,ACD/Labs GALAS,10.7,ACD/Labs GALAS,1.09,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.94,ACD/Labs GALAS,0,2.60E-08,2.44E-07,9.03E-07,1.2209,1.196791136,3.547080981,3.547080981,100,1,4.501323491,Baseline,3.547080981,100,1,4.501323491,Baseline,1,1
"Ethyldioxy, 2,2,2-trifluoro-",147703-38-6,115.031,U.S. EPA CompTox Dashboard,4.29E-07,U.S. EPA CompTox Dashboard,0.63,OPERA (0.44),0.26,OPERA (0.5),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.46,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,5.50E-08,4.55E-07,1.40E-06,1.5946,1.5946,3.211302694,3.211302694,100,1,4.165545204,Baseline,3.211302694,100,1,4.165545204,Baseline,1,1
"Methyldioxy, chloro-",73761-32-7,81.48,U.S. EPA CompTox Dashboard,3.95E-07,U.S. EPA CompTox Dashboard,0.94,OPERA (0.65),1.57,OPERA (0.54),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.51,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,3.70E-08,2.83E-07,9.36E-07,0.6351,0.6351,4.078216598,4.078216598,100,1,5.032459108,Baseline,4.078216598,100,1,5.032459108,Baseline,1,1
Tetramethylammonium hydroxide,75-59-2,91.154,U.S. EPA CompTox Dashboard,4.37E-08,Wambaugh 2014,0.81,OPERA (0.54),3.4,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,-3.15,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,1.00E-08,4.10E-08,-3.0615,-4.0615,12.76085732,12.76085732,100,1,13.71509983,Baseline,12.76085732,100,1,13.71509983,Baseline,1,1
Benzyltrimethylammonium hydroxide,100-85-6,167.252,U.S. EPA CompTox Dashboard,1.17E-07,Wambaugh 2014,0.72,OPERA (0.52),3.85,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-1.87,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,1.30E-08,5.30E-08,-1.7687,-2.7687,9.352787914,9.352787914,100,1,10.30703042,Baseline,9.352787914,100,1,10.30703042,Baseline,1,1
Choline hydroxide,123-41-1,121.18,U.S. EPA CompTox Dashboard,1.13E-07,Wambaugh 2014,0.67,OPERA (0.48),8.43,OPERA (0.5),None,Sipes 2017,None,Sipes 2017,-3.7,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,6.00E-09,2.80E-08,-3.617,-4.617,14.57640778,14.57640778,100,1,15.53065029,Baseline,14.57640778,100,1,15.53065029,Baseline,1,1
Tetrapropylammonium hydroxide,4499-86-9,203.37,U.S. EPA CompTox Dashboard,1.71E-06,U.S. EPA CompTox Dashboard,0.41,OPERA (0.46),20.6,OPERA (0.66),5.1,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.77,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,2.00E-09,1.20E-08,7.10E-08,-1.6677,-2.6677,9.12777996,9.12777996,100,1,10.08202247,Baseline,9.12777996,100,1,10.08202247,Baseline,1,1
1-Butyl-3-methylimidazolium thiocyanate,344790-87-0,197.3,U.S. EPA CompTox Dashboard,1.34E-07,Wambaugh 2014,0.75,OPERA (0.42),41.3,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,-2.87,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,6.00E-09,-2.7787,-3.7787,11.92407373,11.92407373,100,1,12.87831623,Baseline,11.92407373,100,1,12.87831623,Baseline,1,1
1-Ethyl-3-methylimidazolium thiocyanate,331717-63-6,169.25,U.S. EPA CompTox Dashboard,1.05E-07,Wambaugh 2014,0.94,OPERA (0.68),11.05,OPERA (0.34),None,Sipes 2017,None,Sipes 2017,-3.19,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,5.00E-09,2.10E-08,-3.1019,-4.1019,12.8850223,12.8850223,100,1,13.83926481,Baseline,12.8850223,100,1,13.83926481,Baseline,1,1
Selenophene,288-05-1,131.047,U.S. EPA CompTox Dashboard,5.45E-06,U.S. EPA CompTox Dashboard,0.22,OPERA (0.44),9.14,OPERA (0.52),#NV,ACD/Labs GALAS,14.76,ACD/Labs GALAS,1.23,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,6.00E-09,3.60E-08,2.11E-07,1.3623,1.3623,3.403541241,3.403541241,100,1,4.357783751,Baseline,3.403541241,100,1,4.357783751,Baseline,1,1
"1,2,3-Selenadiazole",26223-16-5,133.023,U.S. EPA CompTox Dashboard,5.52E-06,U.S. EPA CompTox Dashboard,0.55,OPERA (0.35),0,OPERA (0.64),-1.77,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.02,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,9.43E-06,1.61E-05,2.59E-05,0.0998,0.0998,4.65431034,4.65431034,100,1,5.608552849,Baseline,4.65431034,100,1,5.608552849,Baseline,1,1
"Naphtho(2,3-c)(1,2,5)selenadiazole",269-20-5,233.143,U.S. EPA CompTox Dashboard,1.92E-06,U.S. EPA CompTox Dashboard,0.14,OPERA (0.62),60.91,OPERA (0.43),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.39,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0,0,1.00E-09,2.5339,2.5339,2.533053385,2.533053385,100,1,3.487295894,Baseline,2.533053385,100,1,3.487295894,Baseline,1,1
Piaselenole,273-15-4,183.083,U.S. EPA CompTox Dashboard,2.17E-06,U.S. EPA CompTox Dashboard,0.09,OPERA (0.56),138.94,OPERA (0.48),0.09,ACD/Labs GALAS,4.72,ACD/Labs GALAS,0.99,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0,0,1.00E-09,1.1199,1.1199,3.615697352,3.615697352,100,1,4.569939861,Baseline,3.615697352,100,1,4.569939861,Baseline,1,1
"Naphtho[1,2-c][1,2,5]selenadiazole",233-69-2,233.143,U.S. EPA CompTox Dashboard,1.42E-06,U.S. EPA CompTox Dashboard,0.09,OPERA (0.6),2.77,OPERA (0.45),2.12,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.53,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0,1.00E-09,6.00E-09,2.6753,2.6753,2.443355255,2.443355255,100,1,3.397597764,Baseline,2.443355255,100,1,3.397597764,Baseline,1,1
"2,3-Pyridinedicarboxylic acid, strontium salt",87314-99-6,252.72,U.S. EPA CompTox Dashboard,1.37E-07,U.S. EPA CompTox Dashboard,0.59,OPERA (0.35),0,OPERA (0.47),-0.82,ACD/Labs GALAS,14.67,ACD/Labs GALAS,0.05,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.25E-07,2.13E-07,3.42E-07,0.1705,-0.8295,5.84469991,5.84469991,100,1,6.798942419,Baseline,5.84469991,100,1,6.798942419,Baseline,1,1
Borane - morpholine complex,4856-95-5,100.96,U.S. EPA CompTox Dashboard,8.33E-06,U.S. EPA CompTox Dashboard,0.85,OPERA (0.59),0,OPERA (0.76),8.56,Sipes 2017,None,Sipes 2017,-1.08,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.09,ACD/Labs GALAS,0,1.94E-05,3.35E-05,5.31E-05,-0.9708,-1.713121425,7.246294279,7.246294279,100,1,8.200536789,Baseline,7.246294279,100,1,8.200536789,Baseline,1,1
Fenoterol hydrobromide,12/3/1944,384.27,U.S. EPA CompTox Dashboard,2.38E-06,U.S. EPA CompTox Dashboard,0.53,OPERA (0.98),0,OPERA (0.65),8.28,Sipes 2017, 10.72; 10.12;  9.51,Sipes 2017,0.89,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.04,ACD/Labs GALAS,0,1.44E-06,2.48E-06,4.01E-06,1.0189,0.152438908,4.594379325,4.594379325,100,1,5.548621834,Baseline,4.594379325,100,1,5.548621834,Baseline,1,1
1-Methyl-3-octylimidazolium bromide,61545-99-1,277.25,U.S. EPA CompTox Dashboard,2.42E-05,U.S. EPA CompTox Dashboard,0.13,OPERA (0.52),37.05,OPERA (0.37),  9.53;  2.04,Sipes 2017,None,Sipes 2017,3.98,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.24,ACD/Labs GALAS,0,0,4.00E-09,4.40E-08,4.1398,3.639487083,1.905390348,1.905390348,100,1,2.859632858,Baseline,1.905390348,100,1,2.859632858,Baseline,1,1
1-Butyl-3-methylimidazolium bromide,85100-77-2,221.142,U.S. EPA CompTox Dashboard,1.58E-07,Wambaugh 2014,0.69,OPERA (0.39),56.73,OPERA (0.36),  8.97;  1.78,Sipes 2017,None,Sipes 2017,1.36,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.24,ACD/Labs GALAS,0,0,1.00E-09,5.00E-09,1.4936,0.993287083,3.731433386,3.731433386,100,1,4.685675895,Baseline,3.731433386,100,1,4.685675895,Baseline,1,1
1-Methyl-3-propylimidazolium bromide,85100-76-1,207.115,U.S. EPA CompTox Dashboard,1.40E-07,Wambaugh 2014,0.66,OPERA (0.45),67.14,OPERA (0.4),  8.77;  1.75,Sipes 2017,None,Sipes 2017,1,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.24,ACD/Labs GALAS,0,0,1.00E-09,4.00E-09,1.13,0.629687083,4.083685292,4.083685292,100,1,5.037927801,Baseline,4.083685292,100,1,5.037927801,Baseline,1,1
"1-Ethyl-2,3-dimethylimidazolium bromide",98892-76-3,207.115,U.S. EPA CompTox Dashboard,3.48E-06,U.S. EPA CompTox Dashboard,0.82,OPERA (0.53),67.28,OPERA (0.4),  9.42;  1.74,Sipes 2017,None,Sipes 2017,1.06,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.24,ACD/Labs GALAS,0,2.00E-09,2.50E-08,1.12E-07,1.1906,0.690287083,4.022857741,4.022857741,100,1,4.97710025,Baseline,4.022857741,100,1,4.97710025,Baseline,1,1
Citalopram hydrobromide,59729-32-7,405.311,U.S. EPA CompTox Dashboard,2.20E-07,U.S. EPA CompTox Dashboard,0.19,OPERA (0.68),4.77,OPERA (0.63),#NV,ACD/Labs GALAS,7.9,ACD/Labs GALAS,2.51,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.01,ACD/Labs GALAS,0,0,0,1.00E-09,2.6551,1.692526498,3.133369274,3.133369274,100,1,4.087611784,Baseline,3.133369274,100,1,4.087611784,Baseline,1,1
Procarbazine hydrobromide,18969-59-0,302.216,U.S. EPA CompTox Dashboard,1.68E-07,U.S. EPA CompTox Dashboard,0.45,OPERA (0.6),3.15,OPERA (0.5),#NV,ACD/Labs GALAS,4.24,ACD/Labs GALAS,0.95,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.87,ACD/Labs GALAS,0,1.00E-09,6.00E-09,3.30E-08,1.0795,1.025460704,3.701695156,3.701695156,100,1,4.655937665,Baseline,3.701695156,100,1,4.655937665,Baseline,1,1
Brolamfetamine hydrobromide,53581-53-6,355.07,U.S. EPA CompTox Dashboard,2.45E-07,Wambaugh 2014,0.49,OPERA (0.47),7.72,OPERA (0.61),9.84,Sipes 2017,None,Sipes 2017,2.38,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.01,ACD/Labs GALAS,0,0,1.00E-09,3.00E-09,2.5238,1.561226498,3.2382767,0.660963568,55.94108167,4.091167229,1.667459053,TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability|TOX21_TR_LUC_GH3_Antagonist_viability,0.660963568,55.94108167,4.091167229,1.667459053,TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability|TOX21_TR_LUC_GH3_Antagonist_viability,1,377.8445237
Brallobarbital,561-86-4,287.113,U.S. EPA CompTox Dashboard,1.79E-07,U.S. EPA CompTox Dashboard,0.4,OPERA (0.61),14.28,OPERA (0.48),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.07,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.66,ACD/Labs GALAS,0,0,0,2.00E-09,2.2107,2.05205947,2.862200592,2.862200592,100,1,3.816443101,Baseline,2.862200592,100,1,3.816443101,Baseline,1,1
Tribromoacetaldehyde,115-17-3,280.741,U.S. EPA CompTox Dashboard,1.90E-07,Wambaugh 2014,0.31,OPERA (0.5),0,OPERA (0.5),None,Sipes 2017,None,Sipes 2017,2.67,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.36E-07,2.26E-07,3.50E-07,2.8167,2.8167,2.356600995,2.356600995,100,1,3.310843505,Baseline,2.356600995,100,1,3.310843505,Baseline,1,1
"Benzene, 2,2,2-tribromoethoxy-",79080-55-0,358.855,U.S. EPA CompTox Dashboard,8.46E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.72),0,OPERA (0.53),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.6,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,4.28E-07,7.01E-07,1.07E-06,4.766,4.766,1.413884232,1.413884232,100,1,2.368126742,Baseline,1.413884232,100,1,2.368126742,Baseline,1,1
Bromoform,75-25-2,252.731,U.S. EPA CompTox Dashboard,1.75E-07,Wambaugh 2014,0.49,OPERA (0.57),0,OPERA (0.51),None,Sipes 2017,None,Sipes 2017,2.29,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.52E-07,2.53E-07,3.99E-07,2.4329,2.4329,2.59898105,2.59898105,100,1,3.553223559,Baseline,2.59898105,100,1,3.553223559,Baseline,1,1
Dibromoacetonitrile,3252-43-5,198.845,U.S. EPA CompTox Dashboard,2.66E-08,Wambaugh 2014,0.4,OPERA (0.62),9.94,OPERA (0.57),None,Sipes 2017,None,Sipes 2017,1.3,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0,0,2.00E-09,1.433,1.433,3.343914262,3.343914262,100,1,4.298156772,Baseline,3.343914262,100,1,4.298156772,Baseline,1,1
Pentabromoacetone,79-49-2,452.56,U.S. EPA CompTox Dashboard,8.43E-07,U.S. EPA CompTox Dashboard,0.13,OPERA (0.45),0,OPERA (0.63),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.66,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,3.42E-07,5.59E-07,8.59E-07,4.8266,4.8266,1.39096737,1.39096737,100,1,2.34520988,Baseline,1.39096737,100,1,2.34520988,Baseline,1,1
Pentabromoethane,75-95-6,424.55,U.S. EPA CompTox Dashboard,5.63E-08,Wambaugh 2014,0.11,OPERA (0.53),0,OPERA (0.53),None,Sipes 2017,None,Sipes 2017,4.8,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,2.40E-08,4.00E-08,6.10E-08,4.968,4.968,1.338752218,1.174697577,43.91925823,4.762539675,1.375061789,TOX21_HRE_BLA_Agonist_viability,1.174697577,43.91925823,4.762539675,1.375061789,TOX21_HRE_BLA_Agonist_viability,1,1.458997815
"1,1,2,2-Tetrabromoethane",79-27-6,345.654,U.S. EPA CompTox Dashboard,2.56E-07,Wambaugh 2014,0.41,OPERA (0.54),0,OPERA (0.57),None,Sipes 2017,None,Sipes 2017,3.59,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.39E-07,2.28E-07,3.50E-07,3.7459,3.7459,1.853175133,1.853175133,100,1,2.807417642,Baseline,1.853175133,100,1,2.807417642,Baseline,1,1
Vinyl bromide,593-60-2,106.95,U.S. EPA CompTox Dashboard,4.34E-06,U.S. EPA CompTox Dashboard,0.46,OPERA (0.61),9.35,OPERA (0.61),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.63,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.50E-08,1.06E-07,6.24E-07,1.7663,1.7663,3.075835792,3.075835792,100,1,4.030078301,Baseline,3.075835792,100,1,4.030078301,Baseline,1,1
Formyl bromide,11/6/7726,108.922,U.S. EPA CompTox Dashboard,3.42E-06,U.S. EPA CompTox Dashboard,0.73,OPERA (0.62),8.46,OPERA (0.62),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.75,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,2.50E-08,2.82E-07,1.32E-06,0.8775,0.8775,3.840344013,3.840344013,100,1,4.794586523,Baseline,3.840344013,100,1,4.794586523,Baseline,1,1
"1,2,3,4-Tetrabromo-5-phenylbenzene",115245-09-5,469.796,U.S. EPA CompTox Dashboard,5.38E-08,U.S. EPA CompTox Dashboard,0.01,OPERA (0.69),0,OPERA (0.84),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,6.34,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,2.50E-08,4.20E-08,6.30E-08,6.5234,6.5234,0.865983066,0.865983066,100,1,1.820225575,Baseline,0.865983066,100,1,1.820225575,Baseline,1,1
BDE-61,446254-32-6,485.795,U.S. EPA CompTox Dashboard,1.03E-07,U.S. EPA CompTox Dashboard,0.1,OPERA (0.47),0,OPERA (0.84),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,7.19,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.05E-07,1.89E-07,2.91E-07,7.3819,7.3819,0.670481685,0.670481685,100,1,1.624724194,Baseline,0.670481685,100,1,1.624724194,Baseline,1,1
"1,1'-Biphenyl, 2,3,4,5,6-pentabromo-",38421-62-4,548.692,U.S. EPA CompTox Dashboard,5.36E-08,U.S. EPA CompTox Dashboard,0.39,OPERA (0.17),0,OPERA (0.83),#NV,ACD/Labs GALAS,3.8,ACD/Labs GALAS,6.84,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,3.10E-08,5.40E-08,8.20E-08,7.0284,7.0284,0.746217747,0.746217747,100,1,1.700460256,Baseline,0.746217747,100,1,1.700460256,Baseline,1,1
"1,1'-Ethane-1,2-diylbis(pentabromobenzene)",84852-53-9,971.226,U.S. EPA CompTox Dashboard,2.25E-07,U.S. EPA CompTox Dashboard,0.41,OPERA (0.16),0,OPERA (0.78),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,10.63,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0.000207,0.0003887,0.000613,10.8563,10.8563,0.183403638,0.183403638,100,1,1.137646147,Baseline,0.183403638,100,1,1.137646147,Baseline,1,1
PBDE 195,446255-38-5,801.379,U.S. EPA CompTox Dashboard,7.58E-08,U.S. EPA CompTox Dashboard,0.01,OPERA (0.69),0,OPERA (0.81),#NV,ACD/Labs GALAS,3.56,ACD/Labs GALAS,9.07,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS,0,2.34E-06,4.40E-06,6.94E-06,9.2807,9.2807,0.356089871,0.356089871,100,1,1.31033238,Baseline,0.356089871,100,1,1.31033238,Baseline,1,1
"1,2,3,4,5-Pentabromo-6-phenoxybenzene",189084-65-9,564.691,U.S. EPA CompTox Dashboard,7.54E-08,U.S. EPA CompTox Dashboard,0.24,OPERA (0.24),0,OPERA (0.84),8.73,ACD/Labs GALAS,#NV,ACD/Labs GALAS,7.72,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.70E-07,3.13E-07,4.89E-07,7.9172,7.9172,0.567175753,0.567175753,100,1,1.521418263,Baseline,0.567175753,100,1,1.521418263,Baseline,1,1
BDE-45,446254-21-3,485.795,U.S. EPA CompTox Dashboard,1.01E-07,U.S. EPA CompTox Dashboard,0.02,OPERA (0.68),0,OPERA (0.84),8.74,ACD/Labs GALAS,#NV,ACD/Labs GALAS,7.17,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.00E-07,1.79E-07,2.76E-07,7.3617,7.3617,0.674641352,0.674641352,100,1,1.628883862,Baseline,0.674641352,100,1,1.628883862,Baseline,1,1
