Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKoa,logKoa_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference
2-ethylbut-2-enedioic acid,13074-60-7,144.126,U.S. EPA CompTox Dashboard,3.78E-07,U.S. EPA CompTox Dashboard,0.47,OPERA (0.47),0,OPERA (0.48),-0.36,ACD/Labs GALAS,9.6,ACD/Labs GALAS,1.08,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-(2-Ethylcrotonoyl)urea,5982-97-8,156.185,U.S. EPA CompTox Dashboard,9.72E-08,Wambaugh 2014,0.9,OPERA (0.66),5.51,OPERA (0.5),None,Sipes 2017, 11.88; 11.20,Sipes 2017,0.58,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
diphenyl butenyl,22692-70-2,208.304,U.S. EPA CompTox Dashboard,6.13E-06,U.S. EPA CompTox Dashboard,0.02,OPERA (0.78),0.31,OPERA (0.4),#NV,ACD/Labs GALAS,10.1,ACD/Labs GALAS,5.92,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Tepraloxydim,149979-41-9,341.83,U.S. EPA CompTox Dashboard,1.93E-08,Wambaugh 2014,0.383,Wetmore 2012,3.35,Wetmore 2012,1.3,Strope 201.,6.6,Strope 2018,3.14,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,3-Dioxopentanoic acid",151677-71-3,130.099,U.S. EPA CompTox Dashboard,2.34E-06,U.S. EPA CompTox Dashboard,0.55,OPERA (0.43),3.42,OPERA (0.46),#NV,ACD/Labs GALAS,9.84,ACD/Labs GALAS,-0.92,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"3,4-Hexanedione",4437-51-8,114.144,U.S. EPA CompTox Dashboard,8.79E-08,Wambaugh 2014,0.74,OPERA (0.49),9.49,OPERA (0.23),None,Sipes 2017,None,Sipes 2017,-0.27,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Methyl 2-oxobutanoate,3952-66-7,116.116,U.S. EPA CompTox Dashboard,5.63E-06,U.S. EPA CompTox Dashboard,0.91,OPERA (0.67),89.38,OPERA (0.28),#NV,ACD/Labs GALAS,9.6,ACD/Labs GALAS,0.42,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,3-Pentanedione",600-14-6,100.117,U.S. EPA CompTox Dashboard,1.6E-07,U.S. EPA CompTox Dashboard,0.78,OPERA (0.5),8.15,OPERA (0.23),#NV,ACD/Labs GALAS,9.6,ACD/Labs GALAS,-0.8,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Arildone,56219-57-9,368.9,U.S. EPA CompTox Dashboard,1.68E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.74),109.44,OPERA (0.4),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,6,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Ethyl perfluoropentanyl ketone,383177-55-7,326.109,U.S. EPA CompTox Dashboard,5.69E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.75),92.11,OPERA (0.43),#NV,ACD/Labs GALAS,9.6,ACD/Labs GALAS,6.05,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Oxobutyric acid,600-18-0,102.089,U.S. EPA CompTox Dashboard,4.72E-06,U.S. EPA CompTox Dashboard,0.92,OPERA (0.63),6.71,OPERA (0.52),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.71,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Ethyl vinyl ketone,1629-58-9,84.118,U.S. EPA CompTox Dashboard,5.5E-08,Wambaugh 2014,0.87,OPERA (0.64),5.47,OPERA (0.28),None,Sipes 2017,None,Sipes 2017,0.57,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-Hexen-3-one,2497-21-4,98.145,U.S. EPA CompTox Dashboard,6.79E-08,Wambaugh 2014,0.47,OPERA (0.44),6.79,OPERA (0.28),None,Sipes 2017,None,Sipes 2017,1.09,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)pent-1-en-3-one",127-43-5,206.329,U.S. EPA CompTox Dashboard,1.15E-05,U.S. EPA CompTox Dashboard,0.07,OPERA (0.69),17.69,OPERA (0.68),#NV,ACD/Labs GALAS,10,ACD/Labs GALAS,4.17,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-(4-Methoxyphenyl)-1-pentene-3-one,104-27-8,190.242,U.S. EPA CompTox Dashboard,1.29E-07,Wambaugh 2014,0.07,OPERA (0.7),28.58,OPERA (0.66),None,Sipes 2017,None,Sipes 2017,2.55,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1-penten-3-one",7779-30-8,206.329,U.S. EPA CompTox Dashboard,3.64E-08,Wambaugh 2014,0.04,OPERA (0.71),19.63,OPERA (0.65),None,Sipes 2017,None,Sipes 2017,4.16,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Butanal, 2-oxo-",4417-81-6,86.09,U.S. EPA CompTox Dashboard,5.34E-06,U.S. EPA CompTox Dashboard,0.84,OPERA (0.64),1.93,OPERA (0.56),4.93,ACD/Labs GALAS,8.97,ACD/Labs GALAS,-0.27,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Flopropione,2295-58-1,182.175,U.S. EPA CompTox Dashboard,1.33E-07,Wambaugh 2014,0.24,OPERA (0.62),88.49,OPERA (0.49),None,Sipes 2017, 11.52;  9.07;  6.23,Sipes 2017,2.6,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.59,ACD/Labs GALAS
2-Aminomethyl-4-tert-butyl-6-propionylphenol,75060-92-3,235.327,U.S. EPA CompTox Dashboard,2.05E-06,U.S. EPA CompTox Dashboard,0.68,OPERA (0.62),8.77,OPERA (0.63),#NV,ACD/Labs GALAS,8.5,ACD/Labs GALAS,3.05,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.03,ACD/Labs GALAS
3'-Nitropropiophenone,17408-16-1,179.175,U.S. EPA CompTox Dashboard,2.3E-06,U.S. EPA CompTox Dashboard,0.25,OPERA (0.42),243.29,OPERA (0.46),2.19,ACD/Labs GALAS,10,ACD/Labs GALAS,2.02,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3'-Chloropropiophenone,34841-35-5,168.62,U.S. EPA CompTox Dashboard,1.29E-07,Wambaugh 2014,0.08,OPERA (0.71),20.33,OPERA (0.59),None,Sipes 2017,None,Sipes 2017,3.04,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
p-Methylpropiophenone,5337-93-9,148.205,U.S. EPA CompTox Dashboard,7.66E-06,U.S. EPA CompTox Dashboard,0.19,OPERA (0.71),19.29,OPERA (0.69),#NV,ACD/Labs GALAS,6.7,ACD/Labs GALAS,2.68,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Ethyl 4-chlorophenyl ketone,6285-05-08,168.62,U.S. EPA CompTox Dashboard,4.73E-05,U.S. EPA CompTox Dashboard,0.11,OPERA (0.69),20.47,OPERA (0.59),None,Sipes 2017,None,Sipes 2017,2.88,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4'-Aminopropiophenone,70-69-9,149.193,U.S. EPA CompTox Dashboard,2.61E-06,U.S. EPA CompTox Dashboard,0.59,OPERA (0.46),20.05,OPERA (0.75),#NV,ACD/Labs GALAS,6.8,ACD/Labs GALAS,0.94,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-Hydroxyaminopropiophenone,55-34-5,165.192,U.S. EPA CompTox Dashboard,1.8E-06,U.S. EPA CompTox Dashboard,0.51,OPERA (0.49),49.19,OPERA (0.59),-1.7,ACD/Labs GALAS,12,ACD/Labs GALAS,1.2,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.57,ACD/Labs GALAS
Paroxypropione,70-70-2,150.177,U.S. EPA CompTox Dashboard,1.07E-07,Wambaugh 2014,0.21,OPERA (0.68),25.66,OPERA (0.61),None,Sipes 2017,8.5,Sipes 2017,1.99,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.83,ACD/Labs GALAS
1-Phenylpropan-1-one,93-55-0,134.178,U.S. EPA CompTox Dashboard,9.83E-08,Wambaugh 2014,0.22,OPERA (0.71),23.32,OPERA (0.66),None,Sipes 2017,None,Sipes 2017,2.1,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2'-Methylpropiophenone,2040-14-4,148.205,U.S. EPA CompTox Dashboard,7.39E-06,U.S. EPA CompTox Dashboard,0.17,OPERA (0.68),30.14,OPERA (0.62),#NV,ACD/Labs GALAS,15.46,ACD/Labs GALAS,2.66,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-(5-Isopropyl-2-methyl-cyclohex-2-enyl)-propan-1-one,31375-17-4,194.318,U.S. EPA CompTox Dashboard,1.52E-07,Wambaugh 2014,0.05,OPERA (0.7),29.53,OPERA (0.58),None,Sipes 2017,None,Sipes 2017,3.99,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3-Pentanone,96-22-0,86.134,U.S. EPA CompTox Dashboard,2.56E-07,Wambaugh 2014,0.83,OPERA (0.73),1.01,OPERA (0.64),None,Sipes 2017,None,Sipes 2017,0.91,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3-Oxopentanoic acid,10191-25-0,116.116,U.S. EPA CompTox Dashboard,5.06E-06,U.S. EPA CompTox Dashboard,0.8,OPERA (0.49),3.8,OPERA (0.49),#NV,ACD/Labs GALAS,15.46,ACD/Labs GALAS,0.01,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
1-(3-Methoxyphenyl)butan-2-one,23037-58-3,178.231,U.S. EPA CompTox Dashboard,7.65E-06,U.S. EPA CompTox Dashboard,0.21,OPERA (0.64),28.71,OPERA (0.49),#NV,ACD/Labs GALAS,13.78,ACD/Labs GALAS,1.88,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,5-Heptanedione",1703-51-1,128.171,U.S. EPA CompTox Dashboard,9.47E-06,U.S. EPA CompTox Dashboard,0.53,OPERA (0.4),38.49,OPERA (0.27),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.26,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-oxohexanal,25346-59-2,114.144,U.S. EPA CompTox Dashboard,9.99E-06,U.S. EPA CompTox Dashboard,0.72,OPERA (0.5),32.48,OPERA (0.27),#NV,ACD/Labs GALAS,8.16,ACD/Labs GALAS,0.31,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Nitrosobis(2-oxobutyl)amine,77698-19-2,186.211,U.S. EPA CompTox Dashboard,2.25E-06,U.S. EPA CompTox Dashboard,0.96,OPERA (0.69),12.3,OPERA (0.53),#NV,ACD/Labs GALAS,16,ACD/Labs GALAS,0.03,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Fentanyl,437-38-7,336.479,U.S. EPA CompTox Dashboard,1.96E-07,Wambaugh 2014,0.16,Lombardo 2018,16.89,OPERA (0.54),9,Pearce 2017,None,Sipes 2017,3.89,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.17,ACD/Labs GALAS
"Piperidine, 1-(1-oxopropyl)- (9CI)",14045-28-4,141.214,U.S. EPA CompTox Dashboard,2.76E-06,U.S. EPA CompTox Dashboard,0.35,OPERA (0.5),41.49,OPERA (0.57),10.17,ACD/Labs GALAS,15.65,ACD/Labs GALAS,1.45,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Propanamide, N-methyl-",1187-58-2,87.122,U.S. EPA CompTox Dashboard,3.63E-06,U.S. EPA CompTox Dashboard,0.91,OPERA (0.68),0,OPERA (0.77),#NV,ACD/Labs GALAS,15.5,ACD/Labs GALAS,-0.36,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Tasimelteon,609799-22-6,245.322,U.S. EPA CompTox Dashboard,1.63E-07,U.S. EPA CompTox Dashboard,0.15,OPERA (0.62),10.43,OPERA (0.59),#NV,ACD/Labs GALAS,13.17,ACD/Labs GALAS,2.19,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Propanamide, N-(2,6-dimethylphenyl)- (9CI)",25404-20-0,177.247,U.S. EPA CompTox Dashboard,2.98E-07,U.S. EPA CompTox Dashboard,0.44,OPERA (0.51),13.18,OPERA (0.61),#NV,ACD/Labs GALAS,16,ACD/Labs GALAS,2.06,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Aureothricin,574-95-8,242.31,U.S. EPA CompTox Dashboard,2.16E-07,U.S. EPA CompTox Dashboard,0.47,OPERA (0.39),0,OPERA (0.5),#NV,ACD/Labs GALAS,14.89,ACD/Labs GALAS,1.52,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-Nitro-3-trifluoromethylpropionanilide,13312-12-4,262.188,U.S. EPA CompTox Dashboard,1.96E-07,U.S. EPA CompTox Dashboard,0.09,OPERA (0.76),22.8,OPERA (0.67),#NV,ACD/Labs GALAS,16,ACD/Labs GALAS,3.37,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-(3-Aminophenyl)propanamide,22987-10-6,164.208,U.S. EPA CompTox Dashboard,1.22E-07,Wambaugh 2014,0.69,OPERA (0.5),1.84,OPERA (0.54),3.45,Sipes 2017,11.91,Sipes 2017,0.67,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Propanil,709-98-8,218.08,U.S. EPA CompTox Dashboard,6.37E-08,Wambaugh 2014,0.074033333,Wambaugh 2019,9.944833333,Wambaugh 2019,None,Sipes 2017,13.9,Wambaugh 2019,3.34,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Parapropamol,1693-37-4,165.192,U.S. EPA CompTox Dashboard,1.09E-07,Wambaugh 2014,0.69,OPERA (0.54),2.66,OPERA (0.62),None,Sipes 2017, 11.90;  9.90,Sipes 2017,0.78,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Phenylpropanamide,620-71-3,149.193,U.S. EPA CompTox Dashboard,1.86E-06,U.S. EPA CompTox Dashboard,0.71,OPERA (0.54),14.64,OPERA (0.61),#NV,ACD/Labs GALAS,16,ACD/Labs GALAS,1.65,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Propionylglycine,21709-90-0,131.131,U.S. EPA CompTox Dashboard,2.8E-07,U.S. EPA CompTox Dashboard,0.63,OPERA (0.36),3.47,OPERA (0.48),9.6,ACD/Labs GALAS,15.12,ACD/Labs GALAS,-1.22,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Propanamide, N-(2-hydroxyethyl)-",18266-55-2,117.148,U.S. EPA CompTox Dashboard,3.41E-07,U.S. EPA CompTox Dashboard,0.96,OPERA (0.71),1.43,OPERA (0.56),8.8,ACD/Labs GALAS,12.23,ACD/Labs GALAS,-0.67,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Propionohydroxamic acid,2580-63-4,89.094,U.S. EPA CompTox Dashboard,5.53E-07,U.S. EPA CompTox Dashboard,0.94,OPERA (0.69),0,OPERA (0.74),#NV,ACD/Labs GALAS,14.09,ACD/Labs GALAS,-0.78,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.99,ACD/Labs GALAS
Betaprodine,468-59-7,261.365,U.S. EPA CompTox Dashboard,1.65E-07,Wambaugh 2014,0.49,OPERA (0.51),1.89,OPERA (0.57),8.93,Sipes 2017,None,Sipes 2017,2.68,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.07,ACD/Labs GALAS
Isobornyl propanoate,2756-56-1,210.317,U.S. EPA CompTox Dashboard,1.295E-06,Wambaugh 2014,0.05,OPERA (0.68),20.37,OPERA (0.36),None,Sipes 2017,None,Sipes 2017,3.94,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Methyl propanoate,554-12-1,88.106,U.S. EPA CompTox Dashboard,6.15E-08,Wambaugh 2014,0.91,OPERA (0.64),8.56,OPERA (0.24),None,Sipes 2017,None,Sipes 2017,0.87,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Propanoic anhydride,123-62-6,130.143,U.S. EPA CompTox Dashboard,4.02E-07,Wambaugh 2014,0.77,OPERA (0.52),111.09,OPERA (0.43),None,Sipes 2017,None,Sipes 2017,0.73,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Propanoic acid, 1,1-dimethylethyl ester",20487-40-5,130.187,U.S. EPA CompTox Dashboard,1.01E-05,U.S. EPA CompTox Dashboard,0.1,OPERA (0.68),23.98,OPERA (0.22),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.33,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Terpinyl propionate,80-27-3,210.317,U.S. EPA CompTox Dashboard,1.496E-06,Wambaugh 2014,0.07,OPERA (0.69),155.38,OPERA (0.33),None,Sipes 2017,None,Sipes 2017,4.2,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"3,7-Dimethylocta-1,6-dien-3-yl propanoate",144-39-8,210.317,U.S. EPA CompTox Dashboard,1.69E-07,Wambaugh 2014,0.13,OPERA (0.64),636.83,OPERA (0.55),None,Sipes 2017,None,Sipes 2017,4.36,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Acetic propanoic anhydride,13080-96-1,116.116,U.S. EPA CompTox Dashboard,7.97E-06,U.S. EPA CompTox Dashboard,0.85,OPERA (0.62),294.35,OPERA (0.41),#NV,ACD/Labs GALAS,14.88,ACD/Labs GALAS,0.05,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Phenylethyl propionate,120-45-6,178.231,U.S. EPA CompTox Dashboard,1.19E-07,Wambaugh 2014,0.13,OPERA (0.67),213.84,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,2.83,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Geranyl propionate,105-90-8,210.317,U.S. EPA CompTox Dashboard,1.79E-05,U.S. EPA CompTox Dashboard,0.11,OPERA (0.72),170.58,OPERA (0.37),None,Sipes 2017,None,Sipes 2017,4.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
(2E)-3-Phenylprop-2-en-1-yl propanoate,78761-38-3,190.242,U.S. EPA CompTox Dashboard,1.48E-07,Wambaugh 2014,0.14,OPERA (0.67),164.34,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,3.08,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Desmethylprodine,13147-09-6,247.338,U.S. EPA CompTox Dashboard,6.74E-07,U.S. EPA CompTox Dashboard,0.61,OPERA (0.59),1.91,OPERA (0.57),#NV,ACD/Labs GALAS,13.43,ACD/Labs GALAS,2.19,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.07,ACD/Labs GALAS
3-hydroxyphenyl propanoate,7402-17-7,166.176,U.S. EPA CompTox Dashboard,4.84E-06,U.S. EPA CompTox Dashboard,0.12,OPERA (0.7),77.89,OPERA (0.61),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.76,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
"Propanoic acid, phenyl ester",637-27-4,150.177,U.S. EPA CompTox Dashboard,1.17E-05,U.S. EPA CompTox Dashboard,0.18,OPERA (0.65),276.47,OPERA (0.43),#NV,ACD/Labs GALAS,12.3,ACD/Labs GALAS,1.97,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Naphthyl propionate,13080-43-8,200.237,U.S. EPA CompTox Dashboard,4.44E-06,U.S. EPA CompTox Dashboard,0.01,OPERA (0.81),147.81,OPERA (0.49),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Cyclopentyl propionate,22499-66-7,142.198,U.S. EPA CompTox Dashboard,9.29E-06,U.S. EPA CompTox Dashboard,0.05,OPERA (0.72),131.28,OPERA (0.36),#NV,ACD/Labs GALAS,13.87,ACD/Labs GALAS,2.2,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Methylpiperidin-4-yl propionate,80047-12-7,171.24,U.S. EPA CompTox Dashboard,3.08E-06,U.S. EPA CompTox Dashboard,0.91,OPERA (0.7),9.14,OPERA (0.58),#NV,ACD/Labs GALAS,14.81,ACD/Labs GALAS,1.18,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.02,ACD/Labs GALAS
Tripropionin,139-45-7,260.286,U.S. EPA CompTox Dashboard,4.83E-06,U.S. EPA CompTox Dashboard,0.63,OPERA (0.59),69.24,OPERA (0.41),#NV,ACD/Labs GALAS,14.16,ACD/Labs GALAS,1.47,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3-Phenylprop-2-en-1-yl propanoate,103-56-0,190.242,U.S. EPA CompTox Dashboard,1.37E-05,U.S. EPA CompTox Dashboard,0.14,OPERA (0.67),164.34,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,3.15,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Anisyl propionate,7549-33-9,194.23,U.S. EPA CompTox Dashboard,1.42E-07,Wambaugh 2014,0.17,OPERA (0.6),149.02,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,2.38,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Benzyl propanoate,122-63-4,164.204,U.S. EPA CompTox Dashboard,1.523E-06,Wambaugh 2014,0.15,OPERA (0.71),266.33,OPERA (0.46),None,Sipes 2017,None,Sipes 2017,2.46,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Citronellyl propionate,141-14-0,212.333,U.S. EPA CompTox Dashboard,1.59E-07,Wambaugh 2014,0.07,OPERA (0.69),373.78,OPERA (0.43),None,Sipes 2017,None,Sipes 2017,4.81,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Phenylethyl propionate,122-70-3,178.231,U.S. EPA CompTox Dashboard,6.64E-08,Wambaugh 2014,0.14,OPERA (0.68),248.16,OPERA (0.45),None,Sipes 2017,None,Sipes 2017,2.83,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Phenoxyethyl propionate,23495-12-7,194.23,U.S. EPA CompTox Dashboard,1.28E-07,Wambaugh 2014,0.18,OPERA (0.58),186.12,OPERA (0.45),None,Sipes 2017,None,Sipes 2017,2.19,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Propaneperoxoic acid,4212-43-5,90.078,U.S. EPA CompTox Dashboard,1.59E-06,U.S. EPA CompTox Dashboard,0.96,OPERA (0.72),30.88,OPERA (0.23),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.4,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.86,ACD/Labs GALAS
Carbromal,77-65-6,237.097,U.S. EPA CompTox Dashboard,1.75E-07,Wambaugh 2014,0.9,OPERA (0.59),0,OPERA (0.6),None,Sipes 2017, 11.71; 10.85,Sipes 2017,1.6,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dibromopropane,27072-47-5,201.889,U.S. EPA CompTox Dashboard,2.73E-06,U.S. EPA CompTox Dashboard,0.6,OPERA (0.4),7.01,OPERA (0.6),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.42,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"1,4-Dibromohexane",25118-28-9,243.97,U.S. EPA CompTox Dashboard,2.08E-06,U.S. EPA CompTox Dashboard,0.22,OPERA (0.41),0.66,OPERA (0.7),7.93,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.63,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-cyanobutanoic acid,51789-75-4,113.116,U.S. EPA CompTox Dashboard,1.53E-06,U.S. EPA CompTox Dashboard,0.88,OPERA (0.62),6.66,OPERA (0.52),6.89,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.12,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
2-(4-Methoxyphenyl)-1-phenylbutan-1-one,35258-39-0,254.329,U.S. EPA CompTox Dashboard,3.59E-06,U.S. EPA CompTox Dashboard,0.01,OPERA (0.81),88.99,OPERA (0.49),#NV,ACD/Labs GALAS,14.84,ACD/Labs GALAS,3.97,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butetamate,14007-64-8,263.381,U.S. EPA CompTox Dashboard,1.88E-07,Wambaugh 2014,0.27,OPERA (0.57),3.76,OPERA (0.59),8.69,Sipes 2017,None,Sipes 2017,4.06,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.04,ACD/Labs GALAS
Bulan,117-26-0,324.2,U.S. EPA CompTox Dashboard,1.31E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.78),44.82,OPERA (0.42),#NV,ACD/Labs GALAS,15.25,ACD/Labs GALAS,5.84,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.08,ACD/Labs GALAS
2-ethylpropanediamide,6082-49-1,130.147,U.S. EPA CompTox Dashboard,3.09E-07,U.S. EPA CompTox Dashboard,0.94,OPERA (0.68),0,OPERA (0.36),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.66,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Ethylmalonic acid,601-75-2,132.115,U.S. EPA CompTox Dashboard,2.75E-07,U.S. EPA CompTox Dashboard,0.92,OPERA (0.67),4.06,OPERA (0.46),#NV,ACD/Labs GALAS,13.95,ACD/Labs GALAS,0.32,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Benzeneacetic acid, .alpha.-ethyl-",90-27-7,164.204,U.S. EPA CompTox Dashboard,2.29E-06,U.S. EPA CompTox Dashboard,0.12,OPERA (0.66),7.13,OPERA (0.56),#NV,ACD/Labs GALAS,14.17,ACD/Labs GALAS,2.38,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
